2,13,7,45,6,39,205,113,92,14,\N,\N,\N,\N,\N,\N,3,3,\N,\N,\N,\N,\N,\N,19,20,Walker Ave,between Iron Horse and San Miguel,N,35,2,37.898948,-122.056191,2013,5
2,21,12,30,9,21,189,98,91,1,\N,\N,\N,\N,\N,\N,2,7,\N,\N,\N,\N,\N,\N,7,14,Main St,between Civic and Lincoln,N,35,4,37.900814,-122.061421,2013,5
2,31,10,67,11,56,54,35,19,6,\N,\N,\N,\N,\N,\N,6,5,\N,\N,\N,\N,\N,\N,13,43,San Carlos Dr,south of Ygnacio,N,35,2,37.917299,-122.039014,2013,5
3,20,15,20,2,18,42,20,22,2,\N,\N,\N,\N,\N,\N,1,1,\N,\N,\N,\N,\N,\N,13,5,Civic Dr,between Parkside and Pine,N,35,4,37.911235,-122.05994,2013,9
3,5,30,97,12,85,50,23,27,0,\N,\N,\N,\N,5,7,\N,\N,\N,\N,\N,\N,63,22,\N,\N,Contra Costa Trail,East of Oak,Y,15,1,37.921938,-122.057628,2013,9
3,12,7,41,8,33,293,163,130,0,\N,\N,\N,\N,\N,\N,6,2,\N,\N,\N,\N,\N,\N,17,16,Mt. Diablo Blvd,west of Broadway,N,35,4,37.897728,-122.058615,2013,9
3,16,20,38,5,33,221,71,150,6,\N,\N,\N,\N,\N,\N,1,4,\N,\N,\N,\N,\N,\N,4,29,California Blvd,immediately south of Ygnacio,N,35,2,37.904599,-122.065584,2013,9
3,29,10,25,6,19,16,11,5,0,\N,\N,\N,\N,\N,\N,0,5,\N,\N,\N,\N,\N,\N,3,16,Walnut Ave,south of Ygnacio,N,35,2,37.920404,-122.033634,2013,9
3,4,31,209,50,159,174,101,73,0,\N,\N,\N,\N,35,15,\N,\N,\N,\N,\N,\N,122,37,\N,\N,Contra Costa Canal Trail,east of Iron Horse,Y,15,1,37.922683,-122.054778,2013,9
3,1,33,164,38,126,170,84,86,3,\N,\N,\N,\N,24,14,\N,\N,\N,\N,\N,\N,83,43,\N,\N,Iron Horse Trail,south of Westcliffe Pl.,Y,15,1,37.915656,-122.05662,2013,9
3,14,1,22,9,13,127,70,57,0,0,0,6,3,6,3,0,9,1,4,3,5,4,9,5,8,Lincoln Ave,between Carmel and Broadway,N,35,4,37.90063,-122.059031,2013,9
3,13,8,168,36,132,265,128,137,6,\N,\N,\N,\N,\N,\N,33,3,\N,\N,\N,\N,\N,\N,105,27,Walker Ave,between Iron Horse and San Miguel,N,35,2,37.898948,-122.056191,2013,9
3,31,10,54,6,48,43,25,18,1,\N,\N,\N,\N,\N,\N,5,1,\N,\N,\N,\N,\N,\N,24,24,San Carlos Dr,south of Ygnacio,N,35,2,37.917299,-122.039014,2013,9
3,33,12,30,5,25,330,208,122,6,\N,\N,\N,\N,\N,\N,3,2,\N,\N,\N,\N,\N,\N,11,14,Mt. Diablo Blvd,east of Main St.,N,25,4,37.897426,-122.059616,2013,9
3,26,35,8,1,7,44,16,28,4,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,\N,\N,3,4,Geary Rd,West of Sprouts Shopping Center,N,35,2,37.926388,-122.065114,2013,9
3,25,3,9,2,7,19,4,15,0,0,0,1,1,1,1,0,2,4,0,2,1,6,1,4,3,Buena Vista Ave,immediately north of Parkside,N,35,4,37.909476,-122.069795,2013,9
3,2,34,196,33,163,229,127,102,5,\N,\N,\N,\N,23,10,\N,\N,\N,\N,\N,\N,104,59,\N,\N,Iron Horse Trail,North of Contra Costa Trail,Y,15,1,37.922878,-122.055247,2013,9
3,17,1,22,7,15,176,69,107,5,1,0,3,3,4,3,1,6,0,3,13,8,13,11,3,21,California Blvd,between Bonanza and Almond ,N,35,2,37.899985,-122.063921,2013,9
3,9,28,24,1,23,32,17,15,1,\N,\N,\N,\N,\N,\N,0,1,\N,\N,\N,\N,\N,\N,18,5,Olympic Blvd,west of California,N,35,2,37.895942,-122.063197,2013,9
3,21,18,14,6,8,618,364,254,4,\N,\N,\N,\N,\N,\N,2,4,\N,\N,\N,\N,\N,\N,2,6,Main St,between Civic and Lincoln,N,35,4,37.900814,-122.061421,2013,9
3,23,1,18,3,15,10,2,8,0,1,0,2,0,3,0,1,2,1,7,4,3,5,10,8,7,Main St,north of 680,N,35,4,37.917027,-122.065724,2013,9
3,10,27,53,5,48,26,12,14,2,\N,\N,\N,\N,\N,\N,2,3,\N,\N,\N,\N,\N,\N,8,40,Olympic Blvd,west of Newell,N,35,2,37.892598,-122.061426,2013,9
3,28,32,16,1,15,18,3,15,0,\N,\N,\N,\N,\N,\N,1,0,\N,\N,\N,\N,\N,\N,8,7,Oak Grove Rd,north of Ygnacio,N,35,2,37.928131,-122.015282,2013,9
3,32,12,27,4,23,329,208,121,5,\N,\N,\N,\N,\N,\N,2,2,\N,\N,\N,\N,\N,\N,4,19,Main St,Mt. Diablo Blvd,N,25,4,37.897172,-122.059918,2013,9
3,8,29,36,7,29,68,33,35,1,\N,\N,\N,\N,\N,\N,4,3,\N,\N,\N,\N,\N,\N,20,9,Newell Ave,between Main and California,N,35,3,37.892827,-122.059865,2013,9
4,1,33,175,37,138,246,115,131,2,\N,\N,\N,\N,27,10,\N,\N,\N,\N,\N,\N,98,40,\N,\N,Iron Horse Trail,south of Westcliffe Pl.,Y,15,1,37.915656,-122.05662,2014,5
4,21,1,22,6,16,473,235,238,2,2,0,2,2,4,2,2,4,1,4,5,6,6,10,5,11,Main St,between Civic and Lincoln,N,35,4,37.900814,-122.061421,2014,5
4,25,3,16,2,14,35,13,22,0,0,0,2,0,2,0,0,2,1,1,11,1,12,2,2,12,Buena Vista Ave,immediately north of Parkside,N,35,4,37.909476,-122.069795,2014,5
4,13,7,45,9,36,184,95,89,2,\N,\N,\N,\N,2,7,\N,\N,\N,\N,\N,\N,25,11,\N,\N,Walker Ave,between Iron Horse and San Miguel,N,35,2,37.898948,-122.056191,2014,5
